toko,nama_produk,harga,harga_origin,diskon,rating,jumlah_review,jumlah_terjual,lokasi,kategori,brand,url_produk,url_gambar,tanggal_scraping
Dandan Online,VIVA Whitening Cream 15gr,Rp15.000,,,5.0,10.0,36,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8714544118.html,https://img.lazcdn.com/g/p/fa66149bf863f9e7ef65d2208b74f34a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Barenbliss Roll To Volume Mascara 8G (437262),Rp85.400,Rp88.295,Hemat 3% dengan voucher,,0.0,54,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7459686987.html,https://img.lazcdn.com/g/p/51cd8c6d7cdbda5c78ea5eb7cf4d32ea.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Nivea Facial Foam Sparkling White 100gr (211240),Rp41.500,Rp42.200,Hemat 2% dengan voucher,,0.0,41,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7288900931.html,https://img.lazcdn.com/g/p/d31df16a1c836d34bc04f986ddccbd5b.png_400x400q75.png,2026-04-07
Dandan Online,COSRX Salicylic Acid Daily Gentle Cleanser 150ml (465639),Rp157.500,Rp164.000,Hemat 4% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8395890938.html,https://img.lazcdn.com/g/p/a08f2bad9577ede2b14db7afa56ae285.jpg_400x400q75.jpg,2026-04-07
Dandan Online,GLOW & LOVELY Ultimate UV Duo Vitamin C SPF 35 PA++++,Rp24.400,,,4.6,37.0,197,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8657292279.html,https://img.lazcdn.com/g/p/5c1ff316c39e016d99563c678d1c858a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,NIVEA Body Serum Extra Bright C&AHA UV Filter 170Ml (459207),Rp46.000,Rp46.925,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8807868320.html,https://img.lazcdn.com/g/p/1f76495fc22a205ca28666c7d762a728.jpg_400x400q75.jpg,2026-04-07
Dandan Online,MARCKS Teens Compact Powder 12gr,Rp27.517,Rp34.220,Hemat 20% dengan voucher,4.9,135.0,1.1K,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8688862063.html,https://img.lazcdn.com/g/p/faad6e9e57d664a308ffdc4b65baa3d1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Nuface Nu Glow Acne Prone Care Toner 100ml 433316,Rp23.800,,,5.0,10.0,69,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7085530890.html,https://img.lazcdn.com/g/p/92369645f1f760ab4ec9fe9ac109a828.jpg_400x400q75.jpg,2026-04-07
Dandan Online,NCO EDP Eau De Parfum - All Variant 100Ml (452103),Rp30.310,Rp45.245,Hemat 33% dengan voucher,4.5,0.0,47,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8798270927.html,https://img.lazcdn.com/g/p/d9f3524cc2fde3b4c68cbaf0fdc77990.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Skin Aqua UV Whitening Milk 40g 144531,Rp68.500,Rp70.550,Hemat 3% dengan voucher,5.0,4.0,37,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919888503.html,https://img.lazcdn.com/g/p/7adf38e3ead07f970b07e9be710a429a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Lovillea Eau De Parfum Enchanting Lily 100ml 433439,Rp35.700,Rp36.110,Hemat 1% dengan voucher,4.8,3.0,7,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919944175.html,https://img.lazcdn.com/g/p/8eeb35c4705f85bdb64db29df3f7c0f3.jpg_400x400q75.jpg,2026-04-07
Dandan Online,My Baby Kids Hair & Body Cologne Sweet 100ml 425566,Rp14.765,Rp17.945,Hemat 18% dengan voucher,5.0,59.0,219,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919976132.html,https://img.lazcdn.com/g/p/4e4c9974e4ad9612246ae3f4f883157b.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Imperial Leather Body Mist 100ml - Marshmallow,Rp22.800,,,,0.0,7,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18818130029.html,https://img.lazcdn.com/g/p/304713fe4c6202bea89da01a11988007.jpg_400x400q75.jpg,2026-04-07
Dandan Online,HANASUI Power Peeling Serum 20ml,Rp28.887,Rp38.315,Hemat 25% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8645028152.html,https://img.lazcdn.com/g/p/01bd1957a75ac1425223391f6a194e5d.jpg_400x400q75.jpg,2026-04-07
Dandan Online,IMPLORA Eyebrow Pencil 2.5gr,Rp7.599,Rp9.020,Hemat 16% dengan voucher,5.0,5.0,24,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8710630737.html,https://img.lazcdn.com/g/p/77281ee3ad44fe0cb1a14195d97692e6.jpg_400x400q75.jpg,2026-04-07
Dandan Online,LT Pro Smooth Corrector Cream Foundation Yellow Orange 15gr (321249),Rp124.750,Rp169.250,Hemat 26% dengan voucher,4.9,0.0,1.2K,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6860980739.html,https://img.lazcdn.com/g/p/60da13e58013851e44cbcb95306b8892.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Marina Compact Powder UV Brighten Up 04 Natural,Rp14.400,,,4.8,32.0,140,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6860298107.html,https://img.lazcdn.com/g/p/e0ba17bf3ea5b67ae8074dcc06391889.jpg_400x400q75.jpg,2026-04-07
Dandan Online,LA TULIPE Bedak TWC Two Function Cake Refill - Y30 (407665),Rp39.250,Rp45.875,Hemat 14% dengan voucher,4.9,0.0,68,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8395354134.html,https://img.lazcdn.com/g/p/cdf2e792c2480f3f7627a63ab390acbe.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Kojie San Cleanser Toner 100ml 321068,Rp57.520,Rp70.760,Hemat 19% dengan voucher,4.8,27.0,108,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919908323.html,https://img.lazcdn.com/g/p/b9c0b0162149932e2b829ce8d89cb96f.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Marina Compact Powder UV Brighten Up 01 Ivory,Rp14.400,,,4.1,11.0,29,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6860890076.html,https://img.lazcdn.com/g/p/ad42f69fa61c74e9feda215bf60c484d.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Hose Blue Intense Extrait De Parfum Umbranox 100 ml,Rp141.150,Rp158.645,Hemat 11% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8292528759.html,https://img.lazcdn.com/g/p/98bace1616161cd2b0a964489839b8e7.jpg_400x400q75.jpg,2026-04-07
Dandan Online,CLOSE UP Pasta Gigi Multivitamin Complete Fresh Protection (438487),Rp15.000,Rp22.145,Hemat 32% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8805296154.html,https://img.lazcdn.com/g/p/fb928c531281012c46685e81b2821be5.jpg_400x400q75.jpg,2026-04-07
Dandan Online,PIGEON TEENS Everyday Sunscreen SPF 35 PA+++ 30Ml (438519),Rp32.499,Rp46.295,Hemat 30% dengan voucher,4.9,0.0,204,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8652480867.html,https://img.lazcdn.com/g/p/86c4837be7eca21cc62158c01abe6c1a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,REXONA Roll On 40ml - Glowing White (412599),Rp12.799,Rp20.255,Hemat 37% dengan voucher,5.0,0.0,95,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8396000249.html,https://img.lazcdn.com/g/p/46ed063f6557cd98ff53ba45ae88fbc7.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Pepsodent Sikat Gigi Triple Clean Soft 320271,Rp5.010,Rp6.185,Hemat 19% dengan voucher,5.0,3.0,10,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6920062948.html,https://img.lazcdn.com/g/p/f0dc68197a7eee1aee04e919c1ecf252.jpg_400x400q75.jpg,2026-04-07
Dandan Online,LA TULIPE Bedak TWC Two Function Cake Refill - Y10 (407663),Rp39.250,Rp45.875,Hemat 14% dengan voucher,4.7,0.0,699,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8395360049.html,https://img.lazcdn.com/g/p/69aca3a51c95abbe3abfd7ccb27ddcb8.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Shinzui Glow Spa Exfoliating Gel 130ml - All Variant,Rp18.100,,,5.0,3.0,9,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18815443431.html,https://img.lazcdn.com/g/p/d13a67bb154f4fe9905fdb0445b8c577.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SYSTEMA Pasta Gigi Nano Menthol Breeze 190gr,Rp13.050,Rp18.260,Hemat 29% dengan voucher,4.7,6.0,25,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8714484312.html,https://img.lazcdn.com/g/p/2c1b1a2f577698b8250b5d43b334d25a.jpg_400x400q75.jpg,2026-04-07
